SKU,NOMBRE,UBICACION-1,UBICACION-2,UBICACION-3
EN095BOL,Bolsa Burbuja para Envio - 12 x 17 Cm,,,
EN086BOX,CAJA PLAST #22.5 C/MANILLA C/T,,,
EN085BOX,CAJA # 45 C/TAPA Y MANILLA,,,
EN084BOX,Caja Plastica - 27 Litros,,,
EN081BOX,Caja Plastica Rollbox 15 litros - 40 X 30 X 18 Cm,,,
EN080BOX,Caja Kit Experimento Autoarmable -Medidas Internas 380x290x205mm - 14c,,,
EN079BOX,Caja Plastica Rollbox 32 litros - Empirica -19 X 40 X 60 Cm,,,
EN078EPP,"Tubo de microcentrifuga tipo Eppendorf - 0,6 Ml",42,,
EN074BOX,Caja Plastica P/tubos de Ensayo - 28x17x17 Cm,,,
EN073BOX,Caja Plastica P/tubos de Ensayo - 23x19x15 Cm,,,
EN072BOX,Caja Pandora Plastica - 12 cavidades,,,
EN071BOL,Bolsa Ziploc 20x30,,,
EN070BOX,Caja Carton Microcorrugado para Set de Optica,,,
EN069MAL,Maleta Plastica - 16 Litros,,,
EN055BID,Bidon - 10 Litros,,,
EN050BOX,Maleta Plastica - 10 Litros,,,
EN047TUB,Tubo Tipo  Falcon Sin Faldon - 50 Ml,,,
EN042BOL,Bolsa Ziploc 18x20,,,
EN041BOL,Bolsa Ziploc 26x37,,,
EN040BOL,Bolsa Ziploc 30x40,,,
EN039BOL,Bolsa Ziploc 8x12,,,
EN038BOL,Bolsa Ziploc 15x16,,,
EN037ATO,Frasco Plastico con Atomizador - 125 Ml,,,
EN035BAU,Baul Plastico de 100 L,,,
EN033BID,Bidon 5 litros con Tapa,30,42,
EN033BID,Bidon 5 litros con Tapa,30,42,
EN032BOL,Bolsa Ziploc 12x28,,,
EN031BOL,"Bolsa Ziploc 7,5x20",,,
EN030BOL,Bolsa Ziploc 6x8,,,
EN029BOL,"Bolsa Ziploc 5,5x6",,,
EN025EPP,Tubo de microcentrifuga tipo Eppendorf - 0.5 mL - 1000 Unidades,42,,
EN024EPP,Tubo de microcentrifuga tipo Eppendorf - 2 Ml,,,
EN022TUB,Tubo Tipo Falcon con Faldon- 5 Ml,,,
EN021TUB,Tubo Tipo Falcon sin Faldon  -15 Ml,,,
EN020TUB,Tubo Tipo Falcon con Faldon - 50 Ml,,,
EN00119B,Botella Plastica 500Ml (Sin tapa Sin Pistola),37,,
EN00110P,Pistola Spray Profesional Blanca-Roja,30,37,
EN00110D,Gotero Blanco con Cortagotas y Tapa - 100 Ml,37,,
EN00106B,Botella Plastica con Tapa - 125 Ml,37,,
EN00105B,Botella Pet Transparente con Tapa - 100 Ml,37,,
EN00104B,Botella Pet Ambar con Tapa - 100 Ml,37,,
EN00102D,Gotero Blanco con Cortagotas y Tapa - 30 Ml,Ex 7,37,
EN00101D,Gotero Blanco con Cortagotas y Tapa - 10 Ml,,,
EMB00042,Bolsa Papel con Manilla XL,,,
EMB00039,Caja de cartón embalaje alto: 12 ancho: 12 largo: 30,,,
EMB0003,Cinta de Embalaje Transparente 48mm,,,
EMB00026,Caja cartón embalaje  alto: 17 ancho: 23 largo: 35,,,
EMB00024,Caja cartón embalaje alto: 32 ancho: 47 largo: 58,,,
EMB00023,Caja cartón embalaje alto: 37 ancho: 31 largo: 54,,,
EMB00022,Caja cartón embalaje alto: 35 ancho: 28 largo: 32,,,
EMB00018,Rollo bolsa prepicada Alto 30 x ancho 20,,,
EMB00017,Rollo bolsa prepicada Alto 40 x ancho 30,,,
EMB00016,Bolsa Papel con Manilla L,,,
EMB00015,Bolsa Papel con Manilla M,,,
EMB00014,Bolsa Papel con Manilla S,,,
EMB00007,Rollo burbuja,,,
EM002SC1,Taller científico SALA CUNA Jardín infantil,,,
EM001NT1,Taller cientifico NIVEL MEDIO MAYOR - Educacion parvularia,,,
EM001NM1,Taller científico NIVEL MEDIO Jardín Infantil,,,
EL000073,Electrodo de Temperatura Version 1.1,,,
EL000048,Pneumotacometro Espirometro con Clips de Nariz,,,
EL000023,Sensor de Distancia Solo,,,
EL000008,Memoria Sd - 8gb,,,
EL000007,Cable Conector 20 Cm,,,
EL000006,Modulo Reloj,,,
EL000005,Modulo de 1 Boton,,,
EL000004,Socket Lector Sd,,,
EL000003,Pantalla Lcd 2004,,,
EL000001,Arduino Mega 2560,6,,
EK119CAH,Ciencia en Tu Casa - Clone At Home,,,
EK118ADN,Ciencia en Tu Casa - Frutadn,10,,
EK117QKA,Ciencia en Tu Casa - Kit Quimikadabra,10,,
EK116GOM,Ciencia en Tu Casa - Kit Gomiperlas,10,,
EK115VIT,Ciencia en Tu Casa - Kit Vitc,10,,
EK062KS0,Laboratorio portatil Subscribscience + 23 Experiencias científicas,,,
EK049LPB,Laboratorio Portatil Experimenta 2do Ciclo Basico - Plan Simple,Ex Física,,
EK046LPB,Laboratorio Portatil Experimenta 1er Ciclo Basico - Plan Simple,Ex Física,,
EK039LPS,Laboratorio Portatil para Kits SuscribScience®,,,
EK0216VF,Juego La  Voz del Futuro,10,,
EK014CCO,Kit Escolar - Extraccion de Cobre,,,
EK007CQA,Kit Escolar -Quimica de Los Alimentos,,,
EK005AST,Kit Astronomia - Transparente,,,
EK003CAN,Kit EXPERIMENTO - Extraccion de ADN para 40 estudiantes,,,
EK001CMI,Kit Escolar - Mitosis,,,
EE000268,Microscopio Digital Usb 500x,,,
EE000261,Medidor de pH 0-14 y solidos disueltos 0-9990ppm,23,,
EE000260,PHmetro basico 0-14,23,,
EE000254,Microscopio Trinocular 1000x Advance Objetivos PLAN de Alta Resolución,Ex 14,2B,
EE000253,Electrodo de pH modelo E201C (repuesto),,,
EE000252,pHmetro de sobremesa / Medidor de pH y ORP (BIOBASE PHS-3C),41,,
EE000251,pHmetro de sobremesa / Medidor de pH y ORP con almacenamiento de datos - BIOBASE,,,
EE000249,Bomba Peristáltica de Dosificacion Variable (0.0002 - 380 mL/min) - BIOBASE,,,
EE000248,Baño termoregulado 10 litros 4 posiciones - BIOBASE BK-S4,Ex 11,,
EE000247,Espectrofotómetro Visible de Haz Simple (325-1020 nm) - BIOBASE,,,
EE000243,"Balanza semianalítica - 300 x1 mg (0,001g)- Biobase",Ex 11,,
EE000240,"Balanza 5000gr * 0,1g B",Ex 21,39,
EE000239,"Balanza 600gr * 0,01g C",Ex 21,39,
EE000238,Válvula Biobase-DN7.0,,,
EE000236,Bomba de vacío - 20 litros/min- BIOBASE,,,
EE000233,Balanza analítica 200 X 0.1 mg BIOBASE BA2204B,Ex 11,35,
EE000231,"R-2024 Rotador de velocidad variable Roto-Mini™ Plus con soportes para tubos, 230 V- Benchmark",,,
EE000211,Microscopio con LCD Digital,Ex 14,2B,
EE000206,Balanza de laboratorio de precisión BIOBASE - 1200 x 0.01 gramos,,,
EE000205,Balanza Mecánica de Precisión 2 platillos 2Kgr,,,
EE000197B,Microscopio Binocular 1000x profesional y 4 Objetivos - Alim Dual Corriente alterna y bateria,2B,,
EE000197,Microscopio Binocular 1000x profesional y 4 Objetivos - Alim Dual Corriente alterna y bateria,,,
EE000157,Telescopio Refractor 70-79100,,,
EE000156,Telescopio Refractor F-90070EQI-A,,,
EE000155,Telescopio F 50/600-M,,,
EE000152,Amperimetro - 0 a 10 Amp - Corriente Alterna,,,
EE000134,Autoclave Electrico - 18 Litros- BIOBASE BKM-P18III,Ex 11,,
EE000133,Manto Calefactor 500 Ml,,,
EE000132,Manto Calefactor 250 Ml,40,,
EE000104,Conjunto Basico de Sensores de Fisica,,,
EE000099,"Lente de Barlow 0,5x",,,
EE000097B,Microscopio Binocular 1000x profesional y 4 Objetivos - Corriente alterna,,,
EE000097,Microscopio Binocular 1000x Semiprofesional con Platina Mecánica y 4 Objetivos,Ex 14,2B,
EE000096,Adaptador para Camara de Microscopio - 30 Mm - Estereoscopio,17,,
EE000090,Balanza de Laboratorio - 5000 gramos x 0.1 gramos,Ex 11,39,
EE000089,Lupa Digital 2.0 MP con Software,,,
EE000087,Balanza Escolar de Precision 50 G - 0.001 G,Ex 21,39,
EE000077,"Estroboscopio Led 1 Hz a 500 Hz X 0,1hz",,,
EE000075B,Microscopio Trinocular 1000x con Objetivos Plan,2B,,
EE000075,Microscopio Trinocular 1000x con Objetivos Plan,Ex 14,2B,
EE000073,Conductimetro 0 a 10.00 Ms/cm,,,
EE000069,Lupa Estereoscopica Trinocular Zoom 7 - 45x,Ex 14,2B,
EE000068,pHmetro portatil + soluciones de calibracion,23,,
EE000067B,"Microscopio Monocular 1000x con Platina Mecanica y 4 Objetivos (4x, 10x, 40x ",,,
EE000067,"Microscopio Monocular 1000x con Platina Mecanica y 4 Objetivos (4x, 10x, 40x y 100x(oil))",,,
EE000065B,Microscopio Binocular 1000x Objetivos Plan y Correccion Al Infinito,2B,,
EE000065,Microscopio Binocular 1000x Objetivos Plan y Correccion Al Infinito,,,
EE000064,Reticulo o Portaobjeto de Calibracion - 0.01 Mm,,,
EE000061B,Lupa Estereoscopica Zoom Continuo 7 - 45x,,,
EE000061,Lupa Estereoscopica Zoom Continuo 7 - 45x,Ex 14,2B,
EE000047,Adaptador para Camara de Microscopio - 30.5 Mm - Estereoscopio,17,,
EE000046,Adaptador para Camara de Microscopio - C - Mount o Trinocular,17,,
EE000045B,"Microscopio Trinocular 1000x con 4 Objetivos [4x, 10x, 40x, 100x(oil)] y Platina Mecanica",,,
EE000045,"Microscopio Trinocular 1000x con 4 Objetivos [4x, 10x, 40x, 100x(oil)] y Platina Mecanica",,,
EE000044,Camara Usb para Microscopio y Estereoscopio - 5.1 Mp,17,24,
EE000043,Camara USB para Microscopio y Estereoscopio - 12 Mp,24,,
EE000034,pH-metro 3 en 1 para suelos,23,,
EE000032,Balanza Digital 7000gr X 1 G,,,
EE000031,Balanza Digital 10000gr X 1 G,39,,
EE000027,Multimetro Digital,6,23,
EE000023NA,Agitador Magnetico con Placa Calefactora de 120 X 120 Mm,,,
EE000023,Agitador Magnetico con Placa Calefactora de 120 X 120 Mm,Ex 11,39,
EE000021,"Balanza 3000 G X 0,1 G",Ex 21,39,
EE000020,"Balanza 300 G X 0,01 G",Ex 21,39,
EE000019B,Lupa Estereoscopica 20x y 40x,,,
EE000019,Lupa Estereoscopica 20x y 40x,Ex 14,2B,
EE000015B,Lupa Estereoscopica 20 X,,,
EE000015AM,Lupa Estereoscopica 20 X,,,
EE000015,Lupa Estereoscopica 20 X,Ex 1,20,
EE000013B,"Microscopio Monocular 400x con Platina Mecanica y 3 Objetivos (4x, 10x y 40x)",,,
EE000013,"Microscopio Monocular 400x con Platina Mecanica y 3 Objetivos (4x, 10x y 40x)",Ex 14,2B,
EE000010,"Balanza Portatil 500 G X 0,1 G",Ex 21,39,
EE000009,"Balanza digital 500 x 0,01 g",Ex 21,39,
EE000008,Objetivo 40x para Microscopio Binocular 1000x Semiprofesional,,,
EE000006,Sellador de Temperatura Variable (VTS),,,
EE000004,Microscopio Digital de Medicion,17,,
EE000002,"pHmetro 3 en 1: pH, temperatura y solidos disueltos - Pack dual",23,,
EE000001,Manto calefactor de 1000ml,40,,
DTM100NF,Tórula nasofaríngea - Pack 100 unidades,Ex 7,42,
DTM050GN,Hisopo de recolección de muestra biológica - Pack 50 unidades,,,
DM0022PA,(D5001-1-50) CT Conversion Reagent (5 tubes),,,
COMBO001,Set de 5 espátulas micro y macro + navecillas para pesar,15,,
BMS1X500,DNA/RNA Shield 1x - 500 mL,,,
